"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 10:46:06 UTC 2025","Fri Jul 11 10:46:07 UTC 2025","206","","com.restassuredapi.tests.photos.GetPhotosTest","","com.restassuredapi.tests.photos.GetPhotosTest","getPhotoById_shouldReturnValidPhoto","get photo by id","/"
"passed","Fri Jul 11 10:46:11 UTC 2025","Fri Jul 11 10:46:11 UTC 2025","161","","com.restassuredapi.tests.posts.UpdatePostTest","","com.restassuredapi.tests.posts.UpdatePostTest","updatePost_withoutId_shouldReturn404","update post without id","/"
"passed","Fri Jul 11 10:46:05 UTC 2025","Fri Jul 11 10:46:06 UTC 2025","192","","com.restassuredapi.tests.photos.UpdatePhotoTest","","com.restassuredapi.tests.photos.UpdatePhotoTest","updatePhoto_withMissingTitle_shouldReturn200DespiteMissingField","update photo with missing title","/"
"passed","Fri Jul 11 10:46:13 UTC 2025","Fri Jul 11 10:46:13 UTC 2025","105","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldMatchSchema","create post should match schema [2] Post{userId=2, id=0, title='Second test post', body='Another body content here'}","/"
"passed","Fri Jul 11 10:46:19 UTC 2025","Fri Jul 11 10:46:19 UTC 2025","172","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getSingleComment_withInvalidId_shouldHandleGracefully","get single comments with valid id [4] 1.5","/"
"passed","Fri Jul 11 10:46:05 UTC 2025","Fri Jul 11 10:46:05 UTC 2025","172","","com.restassuredapi.tests.photos.UpdatePhotoTest","","com.restassuredapi.tests.photos.UpdatePhotoTest","updatePhoto_withMalformedJson_shouldReturn400OrSimilar","update photo with malformed json","/"
"passed","Fri Jul 11 10:46:20 UTC 2025","Fri Jul 11 10:46:21 UTC 2025","193","","com.restassuredapi.tests.comments.CreateCommentTest","","com.restassuredapi.tests.comments.CreateCommentTest","createComment_withValidData_shouldReturn201AndValidFields","create comments with valid data","/"
"passed","Fri Jul 11 10:46:20 UTC 2025","Fri Jul 11 10:46:20 UTC 2025","184","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getComments_withInvalidPostIdQuery_shouldReturnEmptyListOr400","get comments with invalid post id","/"
"passed","Fri Jul 11 10:46:04 UTC 2025","Fri Jul 11 10:46:04 UTC 2025","169","","com.restassuredapi.tests.users.DeleteUserTest","","com.restassuredapi.tests.users.DeleteUserTest","deleteUser_withoutProvidingId_shouldReturn404","delete user without providing id","/"
"passed","Fri Jul 11 10:46:13 UTC 2025","Fri Jul 11 10:46:13 UTC 2025","106","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldMatchSchema","create post should match schema [1] Post{userId=1, id=0, title='First test post', body='This is the body of the first post'}","/"
"passed","Fri Jul 11 10:46:09 UTC 2025","Fri Jul 11 10:46:10 UTC 2025","191","","com.restassuredapi.tests.album.UpdateAlbumTest","","com.restassuredapi.tests.album.UpdateAlbumTest","updateAlbum_withValidData_shouldReturn200AndMatchSchema","update albums with valid data","/"
"passed","Fri Jul 11 10:46:11 UTC 2025","Fri Jul 11 10:46:11 UTC 2025","170","","com.restassuredapi.tests.posts.UpdatePostTest","","com.restassuredapi.tests.posts.UpdatePostTest","updatePost_withInvalidId_shouldReturnError","update post with invalid id","/"
"passed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:16 UTC 2025","125","","com.restassuredapi.tests.todos.GetTodosTest","","com.restassuredapi.tests.todos.GetTodosTest","getAllTodos_shouldReturn200AndExpectedSize","get all todo","/"
"passed","Fri Jul 11 10:46:13 UTC 2025","Fri Jul 11 10:46:13 UTC 2025","120","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldReturnCorrectFields","create post should return correct fields [4] Post{userId=4, id=0, title='', body='Body without a title'}","/"
"passed","Fri Jul 11 10:46:14 UTC 2025","Fri Jul 11 10:46:14 UTC 2025","110","","com.restassuredapi.tests.posts.GetPostsTest","","com.restassuredapi.tests.posts.GetPostsTest","getPost_withNonExistentId_shouldReturn404","get post with non existent id","/"
"passed","Fri Jul 11 10:46:04 UTC 2025","Fri Jul 11 10:46:04 UTC 2025","176","","com.restassuredapi.tests.users.DeleteUserTest","","com.restassuredapi.tests.users.DeleteUserTest","deleteUser_withNonExistentId_shouldStillReturn200OrSimilar","delete user with non existent id","/"
"passed","Fri Jul 11 10:46:18 UTC 2025","Fri Jul 11 10:46:18 UTC 2025","178","","com.restassuredapi.tests.comments.UpdateCommentTest","","com.restassuredapi.tests.comments.UpdateCommentTest","updateComment_shouldMatchResponseSchema","update comment should match response schema","/"
"passed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:17 UTC 2025","94","","com.restassuredapi.tests.todos.UpdateTodoTest","","com.restassuredapi.tests.todos.UpdateTodoTest","updateTodo_withMalformedJson_shouldReturn400OrSimilar","update todo with malformed json","/"
